,player_position,average_rating,total_game_played,started_game_percentage,minute_per_game,goals_per_game,assist_per_game,dribbled_per_game,pourcentage passes,balls_recovered_per_game,possession_won,tackles_per_game,interception_per_game,clean_sheets,saves,goals_conceded,number_match_called_up,number_match_started,player_status,national_team,player_market_value,league_ranking,player_name_sofascore,player_name_transfer_market,player_team,player_league
10,F,6.56,10.0,0.5,51.0,0.0,0.0,0.7,75.0,0.0,0.1,0.7,0.4,0.0,0.0,0.0,0.0,0.0,not-called-up,wales 2020,0.95,,Youness Mokhtar,Chris Gunter,,
11,F,7.27,35.0,0.74,68.29,0.37,0.29,0.41,69.29,0.0,0.77,0.74,0.17,0.0,0.0,0.0,0.64,0.27,called-up,croatia 2020,6.0,,Bruno Petkovi?,Bruno Petkovic,,
12,F,6.95,34.0,0.5,45.41,0.21,0.09,0.05,24.88,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.64,0.27,called-up,czech republic 2020,3.5,,Michael Krmen?ík,Michael Krmencik,,
13,F,7.49,32.0,1.0,85.0,0.72,0.09,1.0,76.0,0.0,1.3,1.5,0.8,0.0,0.0,0.0,0.15,0.0,called-up,portugal 2020,22.0,,Pedro Gonçalves,Pedro Gonçalves,,
14,F,7.48,22.0,0.73,69.0,0.64,0.18,0.2,66.0,0.0,0.5,0.4,0.2,0.0,0.0,0.0,1.0,0.0,called-up,russia 2020,2.5,,Aleksandr Sobolev,Aleksandr Sobolev,,
15,F,6.86,11.0,0.73,68.64,0.0,0.0,2.18,83.45,0.0,0.09,3.64,2.0,0.0,0.0,0.0,0.42,0.0,called-up,russia 2020,3.0,,Maksim Mukhin,Maksim Mukhin,,
16,F,7.03,33.0,0.85,78.0,0.42,0.06,0.5,67.0,0.0,0.5,0.6,0.2,0.0,0.0,0.0,0.29,0.0,called-up,scotland 2020,3.0,,Kevin Nisbet,Jacob Brown,,
17,F,7.51,16.0,1.0,75.0,0.38,0.38,1.6,72.0,0.0,1.3,1.3,0.4,0.0,0.0,0.0,0.18,0.09,not-called-up,czech republic 2020,0.1,,Václav ?erný,Vaclav Cerny,,
18,F,7.0,31.0,0.48,46.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.09,not-called-up,czech republic 2020,1.5,,Zden?k Ondrášek,Zdenek Ondrasek,,
19,F,6.86,23.0,0.83,67.0,0.26,0.22,0.3,77.0,0.0,0.2,0.3,0.3,0.0,0.0,0.0,0.27,0.0,not-called-up,denmark 2020,3.5,,Christian Gytkjær,Christian Gytkjaer,,
20,F,6.95,31.0,0.87,74.0,0.16,0.16,1.1,75.0,0.0,0.3,0.6,0.3,0.0,0.0,0.0,0.23,0.0,not-called-up,portugal 2020,22.5,,Gonçalo Guedes,Gonçalo Guedes,,
21,F,7.02,27.0,0.81,58.89,0.37,0.11,0.23,63.11,0.0,0.08,0.27,0.19,0.0,0.0,0.0,0.08,0.0,not-called-up,russia 2020,10.0,,Fedor Smolov,Fedor Smolov,,
22,F,6.78,25.0,0.44,44.0,0.16,0.0,0.1,64.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.25,0.0,not-called-up,russia 2020,6.0,,Nikolay Komlichenko,Nikolay Komlichenko,,
23,F,6.85,24.0,0.33,34.33,0.29,0.08,0.23,77.0,0.0,0.18,0.09,0.0,0.0,0.0,0.0,0.18,0.0,not-called-up,scotland 2020,1.6,,Leigh Griffiths,Leigh Griffiths,,
24,F,6.85,43.0,0.79,68.0,0.19,0.07,0.6,54.0,0.0,0.3,0.7,0.3,0.0,0.0,0.0,0.41,0.0,not-called-up,scotland 2020,2.8,,Callum Paterson,Callum Paterson,,
25,F,6.79,16.0,0.88,71.0,0.19,0.0,0.4,68.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.08,0.0,not-called-up,sweden 2020,7.5,,Sebastian Andersson,Sebastian Andersson,,
26,F,7.0,22.0,1.0,80.45,0.41,0.09,0.29,62.05,0.0,0.67,0.38,0.1,0.0,0.0,0.0,0.08,0.0,not-called-up,sweden 2020,4.0,,Isaac Kiese Thelin,Isaac Kiese Thelin,,
27,F,6.67,10.0,0.1,21.0,0.1,0.0,0.2,73.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.15,0.0,not-called-up,sweden 2020,2.7,,John Guidetti,John Guidetti,,
28,F,6.81,25.0,0.52,44.56,0.24,0.08,0.37,77.6,0.0,0.53,0.29,0.08,0.0,0.0,0.0,0.09,0.0,not-called-up,switzerland 2020,4.8,,Albian Ajeti,Albian Ajeti,,
29,F,6.87,31.0,0.19,28.61,0.19,0.06,0.13,66.74,0.0,0.39,0.3,0.09,0.0,0.0,0.0,0.27,0.0,not-called-up,switzerland 2020,2.4,,Cédric Itten,Cedric Itten,,
30,F,6.65,24.0,0.21,26.08,0.04,0.04,0.22,64.75,0.0,0.25,0.4,0.0,0.0,0.0,0.0,0.15,0.0,not-called-up,turkey 2020,5.4,,Ahmed Kutucu,Ahmed Kutucu,,
31,F,6.83,25.0,0.52,49.08,0.08,0.04,0.24,24.24,0.0,0.07,0.0,0.05,0.0,0.0,0.0,0.15,0.0,not-called-up,ukraine 2020,2.0,,Vladyslav Supryaga,Vladyslav Supryaga,,
32,F,6.71,32.0,0.56,51.0,0.22,0.03,0.6,72.0,0.0,0.3,0.3,0.2,0.0,0.0,0.0,0.85,0.38,not-called-up,poland 2020,22.0,,Krzysztof Pi?tek,Krzysztof Piatek,,
33,F,7.71,36.0,0.94,84.08,1.28,0.19,0.36,76.53,0.0,1.02,0.45,0.13,0.0,0.0,0.0,0.62,0.54,line-up,poland 2020,56.0,,Robert Lewandowski,Robert Lewandowski,,
34,F,7.17,15.0,0.93,82.0,0.6,0.07,0.7,76.0,0.0,0.3,0.9,0.1,0.0,0.0,0.0,0.85,0.38,not-called-up,poland 2020,2.0,,Arkadiusz Milik,Arkadiusz Milik,,
35,F,6.94,41.0,0.54,50.51,0.27,0.12,0.04,10.98,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.31,0.15,called-up,poland 2020,15.0,,Karol ?widerski,Karol Swiderski,,
36,F,7.39,34.0,1.0,87.18,0.85,0.21,0.19,73.12,0.0,0.69,0.34,0.09,0.0,0.0,0.0,0.77,0.15,called-up,portugal 2020,16.0,,André Silva,André Silva,,
37,F,7.05,39.0,0.56,58.79,0.26,0.13,0.44,82.56,0.0,0.36,0.4,0.26,0.0,0.0,0.0,0.92,0.62,called-up,portugal 2020,81.0,,João Félix,João Félix,,
38,F,6.93,30.0,0.63,58.97,0.43,0.03,1.16,75.4,0.0,0.38,0.59,0.25,0.0,0.0,0.0,1.0,0.54,line-up,portugal 2020,28.0,,Diogo Jota,Diogo Jota,,
39,F,7.43,39.0,0.95,86.54,0.85,0.13,0.42,81.85,0.0,0.78,0.17,0.22,0.0,0.0,0.0,0.85,0.77,line-up,portugal 2020,60.0,,Cristiano Ronaldo,Cristiano Ronaldo,,
40,F,6.65,35.0,0.2,29.6,0.09,0.06,0.28,85.4,0.0,0.38,0.22,0.06,0.0,0.0,0.0,0.62,0.15,not-called-up,portugal 2020,16.0,,Francisco Trincão,Trincão,,
41,F,7.1,32.0,0.94,81.34,0.16,0.19,0.68,87.62,0.0,0.29,0.48,0.97,0.0,0.0,0.0,0.46,0.15,not-called-up,portugal 2020,11.5,,Pedro Neto,Pedro Neto,,
42,F,6.7,1.0,1.0,66.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.08,not-called-up,portugal 2020,4.8,,Paulinho,Paulinho,,
43,F,6.86,30.0,0.87,76.13,0.17,0.17,0.28,79.33,0.0,0.5,0.5,0.57,0.0,0.0,0.0,0.92,0.5,called-up,russia 2020,3.5,,Aleksey Ionov,Aleksey Ionov,,
